,Date,Prices
1882,2022-06-10,28360.810547
1883,2022-06-11,26762.648438
1884,2022-06-12,22487.388672
1885,2022-06-13,22206.792969
1886,2022-06-14,20693.550781
1887,2022-06-15,22989.256025927900
1888,2022-06-16,21471.186799874500
1889,2022-06-17,20649.537993970600
1890,2022-06-18,20290.78591126970
1891,2022-06-19,20176.04499230530
1892,2022-06-20,20162.403965420100
1893,2022-06-21,20173.435490570500
1894,2022-06-22,20175.95200778560
1895,2022-06-23,20160.057590092200
1896,2022-06-24,20125.805654129500
1897,2022-06-25,20076.44867969420
1898,2022-06-26,20015.78914012550
1899,2022-06-27,19947.429690964800
1900,2022-06-28,19874.567416975800
1901,2022-06-29,19800.165952426000
1902,2022-06-30,19726.953502692500
1903,2022-07-01,19657.18543697740
1904,2022-07-02,19592.567130940600
1905,2022-07-03,19534.277707428300
1906,2022-07-04,19483.011582747300
1907,2022-07-05,19439.025948122500
1908,2022-07-06,19402.253538156600
1909,2022-07-07,19372.37780980370
1910,2022-07-08,19348.89625097850
1911,2022-07-09,19331.21138668170
1912,2022-07-10,19318.69408760950
1913,2022-07-11,19310.7013757
1914,2022-07-12,19306.63973274200
1915,2022-07-13,19305.976970739600
1916,2022-07-14,19308.232339941800